name,category,glass,ingredients,preparation
"Vesper","Before Dinner Cocktail","martini","Gin: 6; Vodka: 1.5; Lillet Blonde: 0.75","Shake and strain into a chilled cocktail glass."
"Bacardi","Before Dinner Cocktail","martini","White rum: 4.5; Lime juice: 2; Syrup: 1","Shake with ice cubes. Strain into chilled cocktail glass."
"Negroni","Before Dinner Cocktail","old-fashioned","Gin: 3; Campari: 3; Vermouth: 3","Build into old-fashioned glass filled with ice. Stir gently."
"Rose","","martini","Kirsch: 2; Vermouth: 4; undefined: undefined","Stir all ingredients with ice and strain into a cocktail glass."
"Old Fashioned","Before Dinner Cocktail","old-fashioned","Whiskey: 4.5; undefined: undefined; undefined: undefined; undefined: undefined","Place sugar cube in old-fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolve. Fill the glass with ice cubes and add whisky."
"Tuxedo","All Day Cocktail","martini","Gin: 3; Vermouth: 3; undefined: undefined; undefined: undefined; undefined: undefined","Stir all ingredients with ice and strain into cocktail glass."
"Mojito","Longdrink","collins","White rum: 4; Lime juice: 3; undefined: undefined; undefined: undefined; undefined: undefined","Muddle mint sprigs with sugar and lime juice. Add splash of soda water and fill glass with cracked ice. Pour rum and top with soda water. Serve with straw."
"Horse's Neck","Longdrink","highball","Cognac: 4; Ginger Ale: 12; undefined: undefined","Build into highball glass with ice cubes. Stir gently. If required, add dashes of Angostura bitters."
"Planter's Punch","Longdrink","highball","Dark rum: 4.5; Orange juice: 3.5; Pineapple juice: 3.5; Lemon juice: 2; Syrup: 1; Syrup: 1; undefined: undefined","Pour all ingredients, except the bitters, into shaker filled with ice. Shake. Pour into large glass, filled with ice. Add Angostura bitters, “on top”."
"Sea Breeze","Longdrink","highball","Vodka: 4; Cranberry juice: 12; Grapefruit juice: 3","Build all ingredients in a rock glass filled with ice."
"Pisco Sour","All Day Cocktail","old-fashioned","Pisco: 4.5; Lemon juice: 3; Syrup: 2; undefined: undefined","Shake and strain into a chilled champagne flute. Dash some Angostura bitters on top."
"Long Island Iced Tea","Longdrink","highball","Tequila: 1.5; Vodka: 1.5; White rum: 1.5; Triple Sec: 1.5; Gin: 1.5; Lemon juice: 2.5; Syrup: 3; undefined: undefined","Add all ingredients into highball glass filled with ice. Stir gently. Serve with straw."
"Clover Club","All Day Cocktail","martini","Gin: 4.5; Syrup: 1.5; Lemon juice: 1.5; undefined: undefined","Shake with ice cubes. Strain into cocktail glass."
"Angel Face","All Day Cocktail","martini","Gin: 3; Apricot brandy: 3; Calvados: 3","Shake with ice cubes. Strain into a cocktail glass."
"Mimosa","Sparkling Cocktail","champagne-flute","Champagne: 7.5; Orange juice: 7.5","Pour orange juice into flute and gently pour Champagne. Stir gently. Note: Buck's Fizz is a very similar cocktail but made of two parts champagne to one part orange juice."
"Whiskey Sour","Before Dinner Cocktail","old-fashioned","Whiskey: 4.5; Lemon juice: 3; Syrup: 1.5","Dash egg white (Optional: if used shake little harder to foam up the egg white). Pour all ingredients into cocktail shaker filled with ice. Shake. Strain into cocktail glass. If served ‘On the rocks’, strain ingredients into old-fashioned glass filled with ice."
"Screwdriver","All Day Cocktail","highball","Vodka: 5; Orange juice: 10","Build into a highball glass filled with ice. Stir gently."
"Cuba Libre","Longdrink","highball","White rum: 5; Cola: 12; Lime juice: 1","Build all ingredients in a highball glass filled with ice."
"Manhattan","Before Dinner Cocktail","martini","Whiskey: 5; Vermouth: 2; undefined: undefined","Stir in mixing glass with ice cubes. Strain into chilled cocktail glass."
"Porto Flip","After Dinner Cocktail","martini","Cognac: 1.5; Red Port: 4.5; Egg yolk: 1","Shake with ice cubes. Strain into cocktail glass. Sprinkle with fresh ground nutmeg."
"Gin Fizz","Longdrink","highball","Gin: 4.5; Lemon juice: 3; Syrup: 1; Soda water: 8","Shake all ingredients with ice cubes, except soda water. Pour into tumbler. Top with soda water."
"Espresso Martini","After Dinner Cocktail","martini","Vodka: 5; Coffee liqueur: 1; undefined: undefined; undefined: undefined","Shake and strain into a chilled cocktail glass."
"Margarita","All Day Cocktail","margarita","Tequila: 3.5; Triple Sec: 2; Lime juice: 1.5","Shake with ice cubes. Strain into cocktail glass rimmed with salt (note:Fruit Margarita - blend selected fruit with the above recipe)."
"French 75","Sparkling Cocktail","champagne-tulip","Gin: 3; Lemon juice: 1.5; undefined: undefined; Champagne: 6","Shake with ice cubes, except for champagne. Strain into a champagne flute. Top up with champagne. Stir gently."
"Yellow Bird","All Day Cocktail","martini","White rum: 3; Galliano: 1.5; Triple Sec: 1.5; Lime juice: 1.5","Shake and strain into a chilled cocktail glass."
"Pina Colada","Longdrink","hurricane","White rum: 3; Pineapple juice: 9; Coconut milk: 3","Blend all the ingredients with ice in a electric blender, pour into a large goblet or Hurricane glass and serve with straws."
"Aviation","All Day Cocktail","martini","Gin: 4.5; Cherry liqueur: 1.5; Lemon juice: 1.5","Shake and strain into a chilled cocktail glass."
"Bellini","Sparkling Cocktail","champagne-flute","Prosecco: 10; Peach puree: 5","Pour peach puree into chilled glass and add sparkling wine. Stir gently. Variations: Puccini (fresh mandarin juice), Rossini (fresh strawberry puree), Tintoretto (fresh pomegranate juice)"
"Grasshopper","After Dinner Cocktail","martini","Créme liqueur: 3; Créme liqueur: 3; Cream: 3","Shake with ice cubes. Strain into chilled cocktail glass."
"Tequila Sunrise","Longdrink","highball","Tequila: 4.5; Orange juice: 9; Syrup: 1.5","Build tequila and orange juice into highball with ice cubes. Add a splash of grenadine to create sunrise effect. Do not stir."
"Daiquiri","Before Dinner Cocktail","martini","White rum: 4.5; Lime juice: 2.5; Syrup: 1.5","Shake and strain into a cocktail glass."
"Rusty Nail","After Dinner Cocktail","old-fashioned","Whiskey: 4.5; Drambuie: 2.5","Build into old-fashioned glass filled with ice. Stir gently."
"B52","After Dinner Cocktail","shot","Coffee liqueur: 2; Cream liqueur: 2; Triple Sec: 2","Layer ingredients one at a time starting with Kahlúa, followed by Baileys Irish Cream and top with Grand Marnier. Flame the Grand Marnier, serve while the flame is still on, accompanied with a straw on side plate."
"Stinger","After Dinner Cocktail","martini","Cognac: 5; Créme liqueur: 2","Stir in mixing glass with ice cubes. Strain into a cocktail glass."
"Golden Dream","After Dinner Cocktail","martini","Galliano: 2; Triple Sec: 2; Orange juice: 2; Cream: 1","Shake with ice cubes. Strain into chilled cocktail glass."
"God Mother","","old-fashioned","Vodka: 3.5; DiSaronno: 3.5","Build into old fashioned glass filled with ice cubes. Stir gently."
"Spritz Veneziano","Sparkling Cocktail","old-fashioned","Prosecco: 6; Aperol: 4; undefined: undefined","Build into an old-fashioned glass filled with ice. Top with a splash of soda water."
"Bramble","All Day Cocktail","old-fashioned","Gin: 4; Lemon juice: 1.5; Syrup: 1; Blackberry liqueur: 1.5","Build over crushed ice, in a rock glass. Stir, then pour the blackberry liqueur over the top of the drink in a circular fashion."
"Alexander","","martini","Cognac: 3; Créme liqueur: 3; Cream: 3","Shake and strain into a chilled cocktail glass. Sprinkle with fresh ground nutmeg."
"Lemon Drop Martini","All Day Cocktail","martini","Vodka: 2.5; Triple Sec: 2; Lemon juice: 1.5","Shake and strain into a chilled cocktail glass rimmed with sugar."
"French Martini","Before Dinner Cocktail","martini","Vodka: 4.5; Raspberry liqueur: 1.5; Pineapple juice: 1.5","Stir in mixing glass with ice cubes. Strain into chilled cocktail glass. Squeeze oil from lemon peel onto the drink."
"Black Russian","After Dinner Cocktail","old-fashioned","Vodka: 5; Coffee liqueur: 2","Build into old fashioned glass filled with ice cubes. Stir gently. Note: for White Russian, float fresh cream on the top and stir gently."
"Bloody Mary","Longdrink","highball","Vodka: 4.5; Tomato juice: 9; Lemon juice: 1.5; undefined: undefined; undefined: undefined; undefined: undefined; undefined: undefined","Stir gently, pour all ingredients into highball glass."
"Mai-tai","Longdrink","highball","White rum: 4; Dark rum: 2; Triple Sec: 1.5; Syrup: 1.5; Lime juice: 1","Shake and strain into highball glass. Serve with straw."
"Barracuda","Sparkling Cocktail","margarita","Dark rum: 4.5; Galliano: 1.5; Pineapple juice: 6; undefined: undefined; undefined: undefined",""
"Sex on the Beach","Longdrink","highball","Vodka: 4; Peach schnapps: 2; Cranberry juice: 4; Orange juice: 4","Build all ingredients in a highball glass filled with ice."
"Monkey Gland","All Day Cocktail","martini","Gin: 5; Orange juice: 3; undefined: undefined; undefined: undefined","Shake and strain into a chilled cocktail glass."
"Derby","All Day Cocktail","martini","Gin: 6; undefined: undefined; undefined: undefined","Stir in mixing glass with ice cubes. Strain into a cocktail glass."
"Sidecar","All Day Cocktail","martini","Cognac: 5; Triple Sec: 2; Lemon juice: 2","Shake with ice cubes. Strain into cocktail glass."
"Irish Coffee","Hot Drink","hot-drink","Whiskey: 4; Hot coffee: 9; Cream: 3; undefined: undefined","Warm the Irish whiskey over a burner. Pour into the glass (for hot drink) hot coffee, and add a teaspoon of sugar. Float Cream on top."
"Sazerac","After Dinner Cocktail","old-fashioned","Cognac: 5; Absinthe: 1; undefined: undefined; undefined: undefined","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Note: The original recipe changed after the American Civil War, rye whiskey substituted cognac as it became hard to obtain."
"Americano","Before Dinner Cocktail","old-fashioned","Campari: 3; Vermouth: 3; undefined: undefined","Build into old fashioned glass filled with ice cubes. Add a splash of soda water."
"Singapore Sling","Longdrink","highball","Gin: 3; Cherry liqueur: 1.5; Triple Sec: 0.75; DOM Bénédictine: 0.75; Pineapple juice: 12; Lime juice: 1.5; Syrup: 1; undefined: undefined","Shake with ice cubes. Strain into highball glass."
"French Connection","","old-fashioned","Cognac: 3.5; DiSaronno: 3.5","Build into old fashioned glass filled with ice cubes. Stir gently."
"Moscow Mule","Longdrink","highball","Vodka: 4.5; Ginger beer: 12; Lime juice: 0.5; undefined: undefined","Combine the vodka and ginger beer. Add lime juice."
"John Collins","Longdrink","highball","Gin: 4.5; Lemon juice: 3; Syrup: 1.5; Soda water: 6","Build into highball glass filled with ice. Stir gently. Add a dash of Angostura bitters. (Note: Use Old Tom Gin for Tom Collins)"
"Kir","Before Dinner Cocktail","white-wine","Dry White Wine: 9; Créme liqueur: 1","Pour Créme de Cassis into glass, top up with white wine. For Kir Royal: Use champagne instead of white wine."
"Mint Julep","Longdrink","highball","Whiskey: 6; undefined: undefined; undefined: undefined; undefined: undefined","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is frost."
"Tommy's Margarita","All Day Cocktail","martini","Tequila: 4.5; Lime juice: 1.5; undefined: undefined","Shake and strain into a chilled cocktail glass."
"Paradise","All Day Cocktail","martini","Gin: 3.5; Apricot brandy: 2; Orange juice: 1.5","Shake with ice cubes. Strain into chilled cocktail glass."
"Dirty Martini","Before Dinner Cocktail","martini","Vodka: 6; Vermouth: 1; Olive juice: 1","Stir in mixing glass with ice cubes. Strain into chilled martini glass."
"Champagne Cocktail","Sparkling Cocktail","champagne-flute","Champagne: 9; Cognac: 1; undefined: undefined; undefined: undefined","Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by pouring gently chilled champagne."
"Mary Pickford","All Day Cocktail","martini","White rum: 6; Cherry liqueur: 1; Pineapple juice: 6; Syrup: 1","Shake and strain into a chilled large cocktail glass."
"Hemingway Special","All Day Cocktail","martini","White rum: 6; Grapefruit juice: 4; Cherry liqueur: 1.5; Lime juice: 1.5","Shake with ice cubes. Strain into a double cocktail glass."
"Dark 'n' Stormy","Longdrink","highball","Dark rum: 6; Ginger beer: 10","Build into highball glass filled with ice. Add rum first and top it with ginger beer."
"Ramos Fizz","Longdrink","highball","Gin: 4.5; Lime juice: 1.5; Lemon juice: 1.5; Syrup: 3; Cream: 6; undefined: undefined; undefined: undefined; undefined: undefined; undefined: undefined","Pour all ingredients (except soda) in a mixing glass, dry shake (no ice) for two minutes, add ice and hard shake for another minute. Strain into a highball glass without ice, top with soda."
"Russian Spring Punch","Sparkling Cocktail","highball","Vodka: 2.5; Lemon juice: 2.5; Créme liqueur: 1.5; Syrup: 1","Shake the ingredients and pour into highball glass. Top with Sparkling wine."
"God Father","","old-fashioned","Whiskey: 3.5; DiSaronno: 3.5","Build into old fashioned glass filled with ice cubes. Stir gently."
"Cosmopolitan","All Day Cocktail","martini","Vodka: 4; Triple Sec: 1.5; Lime juice: 1.5; Cranberry juice: 3","Shake with ice cubes. Strain into a large cocktail glass."
"Dry Martini","Before Dinner Cocktail","martini","Gin: 6; Vermouth: 1","Stir in mixing glass with ice cubes. Strain into chilled martini glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
"Between the Sheets","All Day Cocktail","martini","White rum: 3; Cognac: 3; Triple Sec: 3; Lemon juice: 2","Shake with ice cubes. Strain into chilled cocktail glass."
"Casino","All Day Cocktail","martini","Gin: 4; Cherry liqueur: 1; Orange Bitters: 1; Lemon juice: 1","Shake with ice cubes. Strain into chilled cocktail glass."
"Caipirinha","All Day Cocktail","old-fashioned","Cachaca: 5; undefined: undefined; undefined: undefined","Place lime and sugar in old fashion glass and muddle. Fill glass with ice and Cachaca (note:Caipiroska- use Vodka instead of Cachaca)."
"Vampiro","","highball","Tequila: 5; Tomato juice: 7; Orange juice: 3; Lime juice: 1; undefined: undefined; undefined: undefined; undefined: undefined; undefined: undefined; undefined: undefined","Shake with ice cubes. Strain into a highball glass, filled with ice."
"Kamikaze","All Day Cocktail","martini","Vodka: 3; Triple Sec: 3; Lime juice: 3","Shake and strain into a chilled cocktail glass."
"White Lady","All Day Cocktail","martini","Gin: 4; Triple Sec: 3; Lemon juice: 2","Shake with ice cubes. Strain into large cocktail glass."
"Harvey Wallbanger","All Day Cocktail","highball","Vodka: 4.5; Galliano: 1.5; Orange juice: 9","Build vodka and orange juice into a highball glass filled with ice. Stir gently and float Galliano on top."
