id,name,type,country
"Q2983234","Friuli Colli Orientali Riesling Renano","",""
"Q2983422","Colline Novaresi Nebbiolo","",""
"Q2983426","Colline Novaresi Vespolina","",""
"Q2983148","Colli Euganei Fior d'Arancio","","Italy"
"Q2983201","Colli Orientali del Friuli Merlot","",""
"Q2995480","County Cricket Sclafani","",""
"Q2995511","Contea di Sclafani rosso riserva","",""
"Q2995597","Contessa Entellina","",""
"Q2995613","Contessa Entellina bianco","",""
"Q2995620","Contessa Entellina rosso","",""
"Q3021612","Delia Nivolelli Grillo","",""
"Q1933708","Soave","",""
"Q1946008","Montecucco","",""
"Q1946096","Monteregio di Massa Marittima","",""
"Q1946117","Montepulciano d'Abruzzo","",""
"Q1973211","Nebbiolo d’Alba","","Italy"
"Q1973962","Ripasso","","Italy"
"Q2219387","San Colombano al Lambro (Wine)","",""
"Q2305328","Lacryma Christi","","Naples"
"Q2410748","Garda","",""
"Q2507933","Valcalepio","",""
"Q2517014","Vermentino di Sardegna","",""
"Q2599921","Ycoden-Daute-Isora","",""
"Q2750961","Charbono","",""
"Q2831965","Albugnano","",""
"Q2832668","Alentejo wine","",""
"Q2836483","Alicante","",""
"Q2893254","Beaune wine","",""
"Q2894017","Beira Interior DOC","",""
"Q2925580","Brindisi Rosso","",""
"Q2946359","Cerasuolo d'Abruzzo","","Italy"
"Q2967951","Château Mont-Pérat","",""
"Q3683272","Colline di Levanto DOC","",""
"Q3688856","Contessa Entellina Catarratto","",""
"Q3721167","Elba DOC","",""
"Q3731569","Erice DOC","",""
"Q3731574","Erice Catarratto","",""
"Q616","Beaujolais wine","","France"
"Q25993","Rosso di Montalcino","",""
"Q27697","Madeira wine","","Madeira"
"Q126218","Bianco di Custoza","",""
"Q144990","Erbaluce di Caluso Passito","",""
"Q257142","Dolcetto d'Acqui","","Italy"
"Q283191","Friuli Grave Pinot Nero","",""
"Q287877","Friuli Isonzo Moscato giallo spumante","",""
"Q289219","Aleatico di Gradoli","",""
"Q316871","Rotspon","",""
"Q338771","Aglianico del Vulture","",""
"Q338771","Aglianico del Vulture","",""
"Q368172","Delia Nivolelli","",""
"Q378001","Breganze Vespaiolo superiore","",""
"Q378069","Colli Orientali del Friuli Pinot Nero riserva","",""
"Q387806","Carso DOC","",""
"Q390619","Cortese dell'Alto Monferrato","","Italy"
"Q390622","Carema","",""
"Q390626","Bramaterra","",""
"Q390630","Brachetto d'Acqui","","Italy"
"Q390634","Rossese di Dolceacqua","",""
"Q426290","Colli Orientali del Friuli Pinot Grigio riserva","",""
"Q427365","Colli Orientali del Friuli Ribolla Gialla","",""
"Q430761","Barbera del Monferrato","",""
"Q433586","Alta Langa (DOC)","",""
"Q440627","Freisa d’Asti","","Italy"
"Q443118","Friuli-Venezia Giulia wine","",""
"Q453756","Dolcetto di Dogliani","",""
"Q454914","Malvasia di Castelnuovo Don Bosco","",""
"Q455032","Malvasia di Casorzo d'Asti","",""
"Q455219","Amarone della Valpolicella","","Italy"
"Q457894","Fiano di Avellino","",""
"Q457946","Frascati DOC","",""
"Q467794","Piedirosso","",""
"Q499804","Vermentino di Gallura","",""
"Q502082","Trebbiano d'Abruzzo","","Italy"
"Q537841","Cortese di Gavi frizzante","",""
"Q541959","Vino Nobile di Montepulciano","","Italy"
"Q594168","Gattinara DOCG","",""
"Q610387","Ruchè di Castagnole Monferrato","",""
"Q631966","Vernaccia di Oristano","",""
"Q693650","Fendant","",""
"Q693841","Erbaluce di Caluso","","Italy"
"Q693841","Erbaluce di Caluso","","Italy"
"Q735114","Girò","",""
"Q748202","Colli Orientali del Friuli","",""
"Q784469","Rubino di Cantavenna","",""
"Q807803","Barbera d’Alba","","Italy"
"Q808039","Bardolino DOC","",""
"Q3733809","Etna","",""
"Q3733809","Etna","",""
"Q3733809","Etna","",""
"Q3752311","Frascati Superiore","",""
"Q3757489","Galatina rosato","",""
"Q910343","Ramandolo","","Italy"
"Q912059","Carmignano DOCG","",""
"Q921560","Jurançon AOC","","France"
"Q924164","Conditum","",""
"Q926371","Morellino di Scansano","",""
"Q952716","León (DO)","",""
"Q1032955","Candia dei Colli Apuani","",""
"Q1054633","Cerasuolo di Vittoria","","Italy"
"Q1056603","Cesanese del Piglio","",""
"Q1090667","Château Pétrus","",""
"Q1109395","Colli di Luni","",""
"Q1109645","Colline Lucchesi","",""
"Q1109662","Colline Novaresi","",""
"Q1142517","Crépy AOC","",""
"Q1235386","Dolcetto d’Alba","","Italy"
"Q1235386","Dolcetto d’Alba","","Italy"
"Q1269612","Dão DOC","",""
"Q1285128","Alcamo wine","",""
"Q1303349","Mulsum","",""
"Q1310859","Retsina","","Greece"
"Q1340136","Moscato di Sorso-Sennori","","Italy"
"Q1368986","Est! Est!! Est!!! di Montefiascone","",""
"Q1394013","Falerio dei Colli Ascolani","",""
"Q1394022","Falerno del Massico","",""
"Q1394022","Falerno del Massico","",""
"Q1396077","Fara","",""
"Q1398382","Faugères AOC","",""
"Q1401752","Vernaccia di San Gimignano","",""
"Q1421577","Ghemme DOCG","",""
"Q1423822","Albana di Romagna","",""
"Q1427324","Clairet","","France"
"Q1434993","Malaga","",""
"Q1434993","Malaga","",""
"Q1446649","Saperavi","","Georgia"
"Q1469296","Friuli Grave","","Italy"
"Q1474221","Lambrusco di Sorbara","",""
"Q1507028","Alella","",""
"Q1523062","Sciacchetrà","",""
"Q1531263","glacier wine","",""
"Q1606991","Recioto di Gambellara","","Italy"
"Q1632778","Parrina","",""
"Q1648874","Verdicchio di Matelica","",""
"Q1683915","Velletri","",""
"Q1684519","Rosso Piceno","",""
"Q1699127","Rosso Cònero","",""
"Q1713941","Verdicchio dei Castelli di Jesi","",""
"Q1752831","Roero Arneis","",""
"Q1788110","Kreuz-Neroberger","",""
"Q1789031","Sovetskoye Shampanskoye","","Soviet Union"
"Q1799803","Lacrima di Morro d'Alba","",""
"Q1800420","Lago di Corbara","",""
"Q4007443","Val d'Arbia","","Italy"
"Q4007583","Valdichiana rosato","",""
"Q4008343","Valtellina superiore","","Italy"
"Q4009388","Velletri bianco","",""
"Q4009922","Verdicchio di Matelica riserva","",""
"Q4010069","vermentino di gallura superiore","",""
"Q4010098","Vernaccia di San Gimignano riserva","",""
"Q4010099","Vernaccia di Serrapetrona spumante","",""
"Q3093518","Gabiano riserva","",""
"Q3236769","Lessona","",""
"Q3326436","Mouton Cadet","",""
"Q3388684","Pinerolese Ramie","",""
"Q3553937","Valle d'Aosta DOC","",""
"Q3555792","Verdicchio dei Castelli di Jesi classico","",""
"Q3555795","Verdicchio dei Castelli di Jesi passito","",""
"Q3555798","Verdicchio dei Castelli di Jesi spumante","",""
"Q3618365","Ansonica Costa dell'Argentario","","Italy"
"Q3758255","Garda classico rosso","",""
"Q3825934","Lago di Corbara Pinot Nero","",""
"Q3826887","Langhe","",""
"Q3632920","Bagnoli Friularo","","Italy"
"Q3639419","Bianchello del Metauro","",""
"Q3639454","Bianco di Pitigliano","",""
"Q3641731","Bolgheri bianco","",""
"Q3641732","Bolgheri rosso","",""
"Q3649244","Cacc'e mmitte di Lucera","","Italy"
"Q3649800","Cagnina di Romagna","",""
"Q3655405","Cannellino di Frascati","",""
"Q3844029","Malvasia delle Lipari","",""
"Q3848166","Marino DOC","",""
"Q3658657","Carignano del Sulcis rosso riserva","",""
"Q3667441","Chianti Colli Senesi","",""
"Q3860961","Monreale Catarratto","",""
"Q3862225","Montecompatri Colonna","","Italy"
"Q3862321","Monteregio di Massa Marittima","",""
"Q3866002","Moscadello di Montalcino","",""
"Q3866024","Moscato","",""
"Q3866025","Moscato di Siracusa","",""
"Q4015196","Vittoria","",""
"Q4570695","Valdepeñas","",""
"Q4570695","Valdepeñas","",""
"Q4674751","Acqua pazza","",""
"Q4795974","Arribes","",""
"Q4795974","Arribes","",""
"Q4795974","Arribes","",""
"Q4795974","Arribes","",""
"Q4929585","Blue Nun","","Germany"
"Q5489602","Pale cream","",""
"Q5790649","Cream","",""
"Q5790649","Cream","",""
"Q6463671","La Mancha","",""
"Q7162661","Penfolds Grange","",""
"Q7336937","Riunite","",""
"Q7498341","Shiraz wine","",""
"Q7562180","Sonoma County wine","",""
"Q7802690","Barolo riserva","",""
"Q7838516","Trentino-Alto Adige/Südtirol wine","",""
"Q7838522","Trento DOC","","Italy"
"Q7932711","Vino pipeño","","Chile"
"Q8077453","Çalkarası","",""
"Q11046803","Alban-a","",""
"Q11226255","Recioto della Valpolicella","","Italy"
"Q11262139","Salice Salentino","",""
"Q11400368","Katsunuma Wine","",""
"Q11404893","Tokachi Wine","",""
"Q12798814","Pikolit","",""
"Q12950866","Albachiara","",""
"Q12950962","Arleo","",""
"Q12950973","Arsaiga","",""
"Q12951024","Barilòt","",""
"Q12951032","Basarin","",""
"Q12951097","Bonamico","",""
"Q12951188","Caramin","",""
"Q12951221","Castlengh","",""
"Q12951380","Colaret","",""
"Q12951398","Comprino","",""
"Q12951412","Contacc","",""
"Q12951421","Coronata","",""
"Q12951458","Costabela","",""
"Q12951506","Daprové","",""
"Q12951739","Garassin","",""
"Q12951906","Groppolo","",""
"Q12952133","La Monela","",""
"Q12952142","La Vinsa","",""
"Q12952190","Lanzato","",""
"Q12952194","Tears of Paradise","","Italy"
"Q12952212","Le Grive","",""
"Q12954238","Massarda","",""
"Q12954379","Moradella","",""
"Q12954397","Moscatel","",""
"Q12954398","Moscadil","",""
"Q12954459","Ne bianch","",""
"Q12954470","Neiròle","",""
"Q12954514","Nus rouge","",""
"Q12954927","Porticà","",""
"Q12955012","Bianco di Quistello","",""
"Q12955171","Rupestro","",""
"Q12955300","Sarticola","",""
"Q12955586","Torëtte","",""
"Q12955753","Vespolin","",""
"Q12955766","Vignamare","",""
"Q12955797","Vinciaret","",""
"Q12955824","Vërbesch","",""
"Q13100690","Damatrà","",""
"Q13865943","Muscat de Saint-Jean-de-Minervois","",""
"Q14034173","Pinot Nero dell'Oltrepò Pavese","","Italy"
"Q14778716","Teroldego Rotaliano","",""
"Q15039733","Recioto di Soave DOCG","",""
"Q3678236","Cisterna d'Asti","","Italy"
"Q3683101","Colli Maceratesi bianco","",""
"Q31837216","Terracina","","Italy"
"Q31842131","Circeo","",""
"Q43771277","Burgundy wine","","France"
"Q56293225","Pomino","",""
"Q56293227","Valdinievola","",""
"Q62059888","Honoro Vera Garnacha","","Spain"
"Q62059894","Atteca","","Spain"
"Q62059895","Atteca Armas","","Spain"
"Q62090974","Honoro Vera Monastrell","","Spain"
"Q62090998","Honoro Vera Rioja","","Spain"
"Q62091047","Honoro Vera Organic","",""
"Q63777208","Kataro","","Republic of Artsakh"
"Q65330944","Marzemino","",""
"Q86846541","Blanc de Morgex et de La Salle","","Aosta Valley"
"Q86849254","Pelaverga","",""
"Q87193811","Torrette Valle d'Aosta D.O.P.","",""
"Q96109097","Cardeira","",""
"Q96109118","Cardeira Reserva","",""
"Q100722103","Bonzarone","",""
"Q108544695","Bobb","",""
"Q109382125","Volcanic wine","",""
"Q110378029","Judima","",""
"Q113561002","Longan wine","","People's Republic of China"
"Q114398619","Putos","",""
"Q114877258","Pirosmani","",""
"Q115284556","Verdese wine","",""
"Q117037987","Chianti Riserva","",""
"Q118129553","Friuli Colli Orientali","",""
"Q118819069","Delle Venezie","","Italy"
"Q118819069","Delle Venezie","","Italy"
"Q118819069","Delle Venezie","","Italy"
"Q118819131","Grance Senesi","","Italy"
"Q121858335","Kallmeti Wine","",""
"Q123053237","Gyeongju gyodong beopju","",""
"Q123146175","Ludmila","",""
"Q123907264","Gaza wine","",""
"Q124805859","Elba","",""
"Q130893450","Bivongi (wine)","","Italy"
"Q131519258","8Wines","",""
"Q133503577","Ricü Barbaresco","","Italy"
"Q134587482","Napareuli","","Georgia"
"Q135458278","Okni","",""
"Q136410749","Clos de la Dioterie","","France"
"Q136416714","Clos du Chêne Vert","","France"
"Q3881051","Offida","",""
"Q3881975","Oltrepò Pavese Buttafuoco","","Italy"
"Q3886982","Ostuni DOC","",""
"Q3902125","Piave raboso","",""
"Q3907809","Pomino rosso","",""
"Q3921815","Primitivo di Manduria dolce naturale","",""
"Q15069746","Valpolicella","","Italy"
"Q15207448","Canavese","",""
"Q15833829","Maremma Toscana","","Italy"
"Q15884101","Worcester","",""
"Q16361278","Vera Kosovare","",""
"Q16541428","Cinque Terre Sciacchetrà riserva","",""
"Q16572904","Lison","","Italy"
"Q16572904","Lison","","Italy"
"Q16590178","Piemonte","",""
"Q16598687","Rosazzo","","Italy"
"Q16611433","Triumf","",""
"Q16620766","Verdicchio dei Castelli di Jesi","",""
"Q16646590","Pedro Ximénez","",""
"Q18548990","Pušipel","",""
"Q20897649","Kindermacher","",""
"Q20899753","Vrhpoljec","",""
"Q23807329","Timorasso","",""
"Q25393022","Riviera del Brenta","",""
"Q25453806","Verntea","",""
"Q3937938","Riviera Ligure di Ponente Ormeasco Riviera dei Fiori","",""
"Q3937939","Riviera Ligure di Ponente Ormeasco superiore","",""
"Q3937940","Riviera Ligure di Ponente Pigato","",""
"Q3941677","Rosso Piceno Superiore","",""
"Q3941695","Rosso di Montepulciano","",""
"Q3945338","Salaparuta","",""
"Q3945340","Salaparuta Chardonnay","",""
"Q3945342","Salaparuta Catarratto","",""
"Q3947650","San Martino della Battaglia","",""
"Q3947650","San Martino della Battaglia","",""
"Q3948377","Sangiovese di Romagna","",""
"Q3950508","Sardegna Semidano passito","",""
"Q3951168","Savuto","",""
"Q3958709","Sforzato di Valtellina","",""
"Q3991623","Tintilia del Molise","",""
"Q3998179","Trebbiano di Aprilia","",""
"Q3998329","Trentino Marzemino","",""
"Q874080","Uhudler","",""
"Q883138","Hock","",""
"Q1886697","Malamatina","",""
"Q1916869","Chianti Rufina","",""
"Q136439404","Albarossa_(vino)","",""
"Q28944096","Cerveteri","",""
